"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 1",2016
2,3,"heavy_rail","Line 1",2016
3,4,"heavy_rail","Line 1",2016
4,5,"heavy_rail","Line 1",2016
5,6,"heavy_rail","Line 1",2016
6,7,"heavy_rail","Line 1",2016
7,8,"heavy_rail","Line 1",2017
8,9,"heavy_rail","Line 1",2017
9,10,"heavy_rail","Line 1",2017
10,11,"heavy_rail","Line 1",2017
11,12,"heavy_rail","Line 1",2016
12,13,"heavy_rail","Line 1",2017
13,14,"heavy_rail","Line 1",2017
14,15,"heavy_rail","Line 1",2017
15,16,"heavy_rail","Line 1",2017
16,17,"heavy_rail","Line 1",2017
17,18,"heavy_rail","Line 1",2017
18,19,"heavy_rail","Line 1",2017
19,20,"heavy_rail","Line 1",2017
20,21,"heavy_rail","Line 1",2020
21,22,"heavy_rail","Line 1",2016
22,23,"heavy_rail","Line 1",2016
23,24,"heavy_rail","Line 1",2020
24,25,"heavy_rail","Line 1",2020
26,27,"heavy_rail","Line 2",2019
27,28,"heavy_rail","Line 2",2019
28,29,"heavy_rail","Line 2",2019
29,30,"heavy_rail","Line 2",2019
30,31,"heavy_rail","Line 2",2019
31,32,"heavy_rail","Line 2",2019
32,33,"heavy_rail","Line 2",2019
33,34,"heavy_rail","Line 2",2019
34,35,"heavy_rail","Line 2",2019
35,36,"heavy_rail","Line 2",2019
36,37,"heavy_rail","Line 2",2019
37,38,"heavy_rail","Line 2",2019
38,39,"heavy_rail","Line 2",2019
39,40,"heavy_rail","Line 2",2019
40,41,"heavy_rail","Line 2",2019
41,42,"heavy_rail","Line 2",2019
42,43,"heavy_rail","Line 2",2019
43,44,"heavy_rail","Line 2",2019
44,45,"heavy_rail","Line 2",2019
45,46,"heavy_rail","Line 2",2019
46,47,"heavy_rail","Line 2",2019
48,49,"heavy_rail","Line 5",2022
49,50,"heavy_rail","Line 5",2022
50,51,"heavy_rail","Line 5",2022
51,52,"heavy_rail","Line 5",2022
52,53,"heavy_rail","Line 5",2022
53,54,"heavy_rail","Line 5",2022
54,55,"heavy_rail","Line 5",2022
55,56,"heavy_rail","Line 5",2022
56,57,"heavy_rail","Line 5",2022
57,58,"heavy_rail","Line 5",2022
58,59,"heavy_rail","Line 5",2022
59,60,"heavy_rail","Line 5",2022
60,61,"heavy_rail","Line 5",2022
61,62,"heavy_rail","Line 5",2022
62,63,"heavy_rail","Line 5",2022
63,64,"heavy_rail","Line 5",2022
