"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 1",2013
2,3,"heavy_rail","Line 1",2013
3,4,"heavy_rail","Line 1",2013
4,5,"heavy_rail","Line 1",2013
5,6,"heavy_rail","Line 1",2013
6,7,"heavy_rail","Line 1",2013
7,8,"heavy_rail","Line 1",2013
8,9,"heavy_rail","Line 1",2013
9,10,"heavy_rail","Line 1",2013
10,11,"heavy_rail","Line 1",2013
11,12,"heavy_rail","Line 1",2019
12,13,"heavy_rail","Line 1",2019
13,14,"heavy_rail","Line 1",2019
14,15,"heavy_rail","Line 1",2019
15,16,"heavy_rail","Line 1",2019
16,17,"heavy_rail","Line 1",2013
17,18,"heavy_rail","Line 1",2013
18,19,"heavy_rail","Line 1",2013
19,20,"heavy_rail","Line 1",2013
20,21,"heavy_rail","Line 1",2013
21,22,"heavy_rail","Line 1",2013
22,23,"heavy_rail","Line 1",2013
24,25,"heavy_rail","Line 2",2021
25,26,"heavy_rail","Line 2",2021
26,27,"heavy_rail","Line 2",2021
27,28,"heavy_rail","Line 2",2021
28,29,"heavy_rail","Line 2",2021
29,30,"heavy_rail","Line 2",2021
30,31,"heavy_rail","Line 2",2021
31,32,"heavy_rail","Line 2",2021
32,33,"heavy_rail","Line 2",2021
33,34,"heavy_rail","Line 2",2021
34,35,"heavy_rail","Line 2",2021
35,36,"heavy_rail","Line 2",2021
36,37,"heavy_rail","Line 2",2021
37,38,"heavy_rail","Line 2",2021
38,39,"heavy_rail","Line 2",2021
39,40,"heavy_rail","Line 2",2021
40,41,"heavy_rail","Line 2",2021
41,42,"heavy_rail","Line 2",2021
43,44,"heavy_rail","Line 3",2017
44,45,"heavy_rail","Line 3",2017
45,46,"heavy_rail","Line 3",2017
46,47,"heavy_rail","Line 3",2021
47,48,"heavy_rail","Line 3",2021
48,49,"heavy_rail","Line 3",2021
49,50,"heavy_rail","Line 3",2021
50,51,"heavy_rail","Line 3",2021
51,52,"heavy_rail","Line 3",2021
52,53,"heavy_rail","Line 3",2021
53,54,"heavy_rail","Line 3",2021
54,55,"heavy_rail","Line 3",2021
55,56,"heavy_rail","Line 3",2021
56,57,"heavy_rail","Line 3",2021
57,58,"heavy_rail","Line 3",2021
58,59,"heavy_rail","Line 3",2021
59,60,"heavy_rail","Line 3",2021
60,61,"heavy_rail","Line 3",2021
61,62,"heavy_rail","Line 3",2017
62,63,"heavy_rail","Line 3",2021
63,64,"heavy_rail","Line 3",2021
64,65,"heavy_rail","Line 3",2021
65,66,"heavy_rail","Line 3",2021
