"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 1",2007
2,3,"heavy_rail","Line 1",2011
3,4,"heavy_rail","Line 1",2011
4,5,"heavy_rail","Line 1",2011
5,6,"heavy_rail","Line 1",2011
6,7,"heavy_rail","Line 1",2011
7,8,"heavy_rail","Line 1",2007
8,9,"heavy_rail","Line 1",2007
9,10,"heavy_rail","Line 1",2006
10,11,"heavy_rail","Line 1",2006
11,12,"heavy_rail","Line 1",2006
12,13,"heavy_rail","Line 1",2006
13,14,"heavy_rail","Line 1",2006
14,15,"heavy_rail","Line 1",2006
15,16,"heavy_rail","Line 1",2006
16,17,"heavy_rail","Line 1",2006
17,18,"heavy_rail","Line 1",2006
18,19,"heavy_rail","Line 1",2006
19,20,"heavy_rail","Line 1",2006
20,21,"heavy_rail","Line 1",2007
21,22,"heavy_rail","Line 1",2011
22,23,"heavy_rail","Line 1",2021
