"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Green Line",2021
2,3,"heavy_rail","Green Line",2021
3,4,"heavy_rail","Green Line",2021
4,5,"heavy_rail","Green Line",2021
5,6,"heavy_rail","Green Line",2021
6,7,"heavy_rail","Green Line",2021
7,8,"heavy_rail","Green Line",2021
8,9,"heavy_rail","Green Line",2021
9,10,"heavy_rail","Green Line",2021
10,11,"heavy_rail","Green Line",2021
11,12,"heavy_rail","Green Line",2021
12,13,"heavy_rail","Green Line",2021
13,14,"heavy_rail","Green Line",2021
14,15,"heavy_rail","Green Line",2021
15,16,"heavy_rail","Green Line",2021
16,17,"heavy_rail","Green Line",2021
17,18,"heavy_rail","Green Line",2021
