"nodeID_from","nodeID_to","mode","line","year"
2,4,"default","3",0
4,8,"default","3",0
8,11,"default","3",0
11,13,"default","3",0
13,14,"default","3",0
14,15,"default","3",0
15,17,"default","3",0
17,18,"default","3",0
18,21,"default","3",0
21,22,"default","3",0
22,24,"default","3",0
24,26,"default","3",0
26,32,"default","3",0
32,33,"default","3",0
33,34,"default","3",0
34,35,"default","3",0
35,36,"default","3",0
36,37,"default","3",0
37,39,"default","3",0
39,40,"default","3",0
40,41,"default","3",0
41,45,"default","3",0
45,47,"default","3",0
47,48,"default","3",0
48,49,"default","3",0
49,50,"default","3",0
50,51,"default","3",0
51,52,"default","3",0
52,54,"default","3",0
54,56,"default","3",0
56,59,"default","3",0
59,60,"default","3",0
60,61,"default","3",0
61,62,"default","3",0
1,3,"default","1",0
3,5,"default","1",0
5,6,"default","1",0
6,7,"default","1",0
7,9,"default","1",0
9,10,"default","1",0
10,12,"default","1",0
12,16,"default","1",0
16,19,"default","1",0
19,20,"default","1",0
20,23,"default","1",0
23,25,"default","1",0
25,27,"default","1",0
27,28,"default","1",0
28,29,"default","1",0
29,30,"default","1",0
30,31,"default","1",0
31,38,"default","1",0
38,42,"default","1",0
42,43,"default","1",0
43,44,"default","1",0
44,46,"default","1",0
46,53,"default","1",0
53,55,"default","1",0
55,57,"default","1",0
57,58,"default","1",0
58,65,"default","1",0
65,67,"default","1",0
67,69,"default","1",0
69,70,"default","1",0
70,71,"default","1",0
71,77,"default","1",0
77,78,"default","1",0
78,80,"default","1",0
80,82,"default","1",0
82,83,"default","1",0
83,84,"default","1",0
84,85,"default","1",0
85,86,"default","1",0
86,87,"default","1",0
87,88,"default","1",0
88,90,"default","1",0
90,91,"default","1",0
91,92,"default","1",0
92,93,"default","1",0
93,94,"default","1",0
94,95,"default","1",0
95,96,"default","1",0
96,97,"default","1",0
97,98,"default","1",0
98,99,"default","1",0
99,100,"default","1",0
100,101,"default","1",0
101,102,"default","1",0
102,103,"default","1",0
103,104,"default","1",0
104,105,"default","1",0
105,106,"default","1",0
106,107,"default","1",0
63,64,"default","6",0
64,68,"default","6",0
68,72,"default","6",0
72,73,"default","6",0
73,74,"default","6",0
74,75,"default","6",0
75,76,"default","6",0
76,79,"default","6",0
79,81,"default","6",0
66,89,"default","STB",0
