"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Red Line",2023
2,3,"light_rail","Red Line",2023
3,4,"light_rail","Red Line",2023
4,5,"light_rail","Red Line",2023
5,6,"light_rail","Red Line",2023
6,7,"light_rail","Red Line",2023
7,8,"light_rail","Red Line",2023
8,9,"light_rail","Red Line",2023
9,10,"light_rail","Red Line",2023
10,11,"light_rail","Red Line",2023
11,12,"light_rail","Red Line",2023
12,13,"light_rail","Red Line",2023
13,14,"light_rail","Red Line",2023
14,15,"light_rail","Red Line",2023
15,16,"light_rail","Red Line",2023
16,17,"light_rail","Red Line",2023
17,18,"light_rail","Red Line",2023
18,19,"light_rail","Red Line",2023
19,20,"light_rail","Red Line",2023
20,21,"light_rail","Red Line",2023
21,22,"light_rail","Red Line",2023
22,23,"light_rail","Red Line",2023
23,24,"light_rail","Red Line",2023
24,25,"light_rail","Red Line",2023
25,26,"light_rail","Red Line",2023
26,27,"light_rail","Red Line",2023
27,28,"light_rail","Red Line",2023
28,29,"light_rail","Red Line",2023
29,30,"light_rail","Red Line",2023
30,31,"light_rail","Red Line",2023
31,32,"light_rail","Red Line",2023
32,33,"light_rail","Red Line",2023
33,34,"light_rail","Red Line",2023
