"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Buffalo Metro Rail",1985
2,3,"light_rail","Buffalo Metro Rail",1984
3,4,"light_rail","Buffalo Metro Rail",1984
4,5,"light_rail","Buffalo Metro Rail",1984
5,6,"light_rail","Buffalo Metro Rail",1984
6,7,"light_rail","Buffalo Metro Rail",1984
7,8,"light_rail","Buffalo Metro Rail",1984
8,9,"light_rail","Buffalo Metro Rail",1985
9,10,"light_rail","Buffalo Metro Rail",1985
10,11,"light_rail","Buffalo Metro Rail",1985
11,12,"light_rail","Buffalo Metro Rail",1985
12,13,"light_rail","Buffalo Metro Rail",1985
13,14,"light_rail","Buffalo Metro Rail",1985
14,15,"light_rail","Buffalo Metro Rail",1986
