"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 1",2019
2,3,"heavy_rail","Line 1",2019
3,4,"heavy_rail","Line 1",2019
4,5,"heavy_rail","Line 1",2019
5,6,"heavy_rail","Line 1",2019
6,7,"heavy_rail","Line 1",2019
7,8,"heavy_rail","Line 1",2019
8,9,"heavy_rail","Line 1",2019
9,10,"heavy_rail","Line 1",2019
10,11,"heavy_rail","Line 1",2019
11,12,"heavy_rail","Line 1",2019
12,13,"heavy_rail","Line 1",2019
13,14,"heavy_rail","Line 1",2019
14,15,"heavy_rail","Line 1",2019
15,16,"heavy_rail","Line 1",2019
16,17,"heavy_rail","Line 1",2019
17,18,"heavy_rail","Line 1",2020
18,19,"heavy_rail","Line 1",2019
19,20,"heavy_rail","Line 1",2019
