"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"灵昆",120.930902,27.9338212,"heavy_rail",2019
2,"瓯华",120.8879914,27.9565988,"heavy_rail",2019
3,"瓯江口",120.9157772,27.9438772,"heavy_rail",2019
4,"双瓯大道",120.9471909,27.9229872,"heavy_rail",2019
5,"奥体中心",120.8426589,27.9091509,"heavy_rail",2019
6,"机场",120.8239029,27.911767,"heavy_rail",2019
7,"永中",120.8068644,27.9188745,"heavy_rail",2019
8,"科技城",120.7790005,27.933799,"heavy_rail",2019
9,"瑶溪",120.7801547,27.9579854,"heavy_rail",2019
10,"新桥",120.7586822,27.961962,"heavy_rail",2019
11,"德政",120.7098126,27.976341,"heavy_rail",2019
12,"龙霞路",120.692842,27.9829294,"heavy_rail",2019
13,"惠民路",120.6653691,27.9825961,"heavy_rail",2019
14,"三垟湿地",120.6460632,27.979283,"heavy_rail",2019
15,"龙腾路",120.6236364,27.9808155,"heavy_rail",2019
16,"动车南站",120.5799185,27.9700929,"heavy_rail",2019
17,"潘桥",120.5699669,27.9442413,"heavy_rail",2019
18,"桐岭",120.5648092,27.9241464,"heavy_rail",2019
