"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Whiting",-82.4567686709745,27.9452289003408,"tram",2010
2,"Dick Greco Plaza",-82.4548423840212,27.9415674889066,"tram",2002
3,"HSBC",-82.4519736694195,27.9419240534624,"tram",2002
4,"Centennial Park",-82.4372832960093,27.9610084568481,"tram",2002
5,"Centro Ybor",-82.4412717773602,27.9610166683433,"tram",2002
6,"Streetcar Society",-82.4432890613835,27.9610330905551,"tram",2002
7,"Cadrecha Plaza",-82.445469735897,27.9606471070717,"tram",2002
8,"Publix",-82.4454464088581,27.9515875553384,"tram",2002
9,"York Street",-82.4456402144757,27.9457493087339,"tram",2002
10,"Cumberland Avenue",-82.4455307114547,27.9481497897575,"tram",2002
11,"Amalie Arena",-82.4484939492336,27.9434759031576,"tram",2002
