"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Bourroches",5.0063469,47.2943336,"light_rail",2012
2,"Carraz",5.0104364,47.2996875,"light_rail",2012
3,"Carraz",5.0233423,47.3051539,"light_rail",2012
4,"Valendons",5.0209739,47.3009265,"light_rail",2012
5,"Valendons",5.02093,47.3009424,"light_rail",2012
6,"Chenôve Centre",5.0150846,47.3018443,"light_rail",2012
7,"Chenôve Centre",5.0150908,47.3018688,"light_rail",2012
8,"Le Mail",5.0063859,47.2943257,"light_rail",2012
9,"Le Mail",5.0103972,47.2997094,"light_rail",2012
10,"Bourroches",5.0232499,47.3051745,"light_rail",2012
11,"Jaurès",5.0264789,47.3105539,"light_rail",2012
12,"Jaurès",5.0263626,47.3105959,"light_rail",2012
13,"Monge",5.0313376,47.3173833,"light_rail",2012
14,"Monge",5.0439736,47.3330195,"light_rail",2012
15,"1er Mai",5.0314175,47.3173655,"light_rail",2012
16,"1er Mai",5.0441863,47.3268117,"light_rail",2012
17,"Dijon Gare",5.0287507,47.3146128,"light_rail",2012
18,"Dijon Gare",5.0286431,47.3146256,"light_rail",2012
19,"Darcy",5.0439171,47.3330152,"light_rail",2012
20,"Darcy",5.0284106,47.3233104,"light_rail",2012
21,"Darcy",5.0441454,47.3268203,"light_rail",2012
22,"Darcy",5.0284056,47.3233399,"light_rail",2012
23,"Godrans",5.0341631,47.3237375,"light_rail",2012
24,"Godrans",5.0445668,47.3391022,"light_rail",2012
25,"République",5.0341476,47.3237591,"light_rail",2012
26,"République",5.0457564,47.3264832,"light_rail",2012
27,"République",5.0389722,47.325318,"light_rail",2012
28,"République",5.0521458,47.3285893,"light_rail",2012
29,"Drapeau",5.0521458,47.3285629,"light_rail",2012
30,"Drapeau",5.0671504,47.315327,"light_rail",2012
31,"Junot",5.0510261,47.361294,"light_rail",2012
32,"Junot",5.0458065,47.3264771,"light_rail",2012
33,"Nation",5.0444967,47.3391043,"light_rail",2012
34,"Nation",5.0452863,47.3464897,"light_rail",2012
35,"Europe",5.0452466,47.3464941,"light_rail",2012
36,"Europe",5.0461731,47.3532117,"light_rail",2012
37,"Zénith",5.0494584,47.3652398,"light_rail",2012
38,"Zénith",5.0456398,47.3532563,"light_rail",2012
39,"Toison d'Or",5.0566479,47.3565289,"light_rail",2012
40,"Toison d'Or",5.0566419,47.3565525,"light_rail",2012
41,"Pôle Santé",5.0494092,47.3652384,"light_rail",2012
42,"Pôle Santé",5.0523024,47.3553669,"light_rail",2012
43,"Giroud",5.0522771,47.3553874,"light_rail",2012
44,"Giroud",5.0767564,47.3148579,"light_rail",2012
45,"Dijon Valmy",5.0509883,47.3612755,"light_rail",2012
46,"Dijon Valmy",5.04678,47.3654568,"light_rail",2012
47,"Auditorium",5.0467392,47.3654606,"light_rail",2012
48,"Auditorium",5.065281,47.3225718,"light_rail",2012
49,"Erasme",5.0730508,47.3115968,"light_rail",2012
50,"Mazen - Sully",5.0730587,47.3116127,"light_rail",2012
51,"Parc des Sports",5.0671079,47.3153364,"light_rail",2012
52,"Université",5.0675499,47.3200998,"light_rail",2012
53,"Université",5.0675582,47.3201254,"light_rail",2012
54,"Erasme",5.0653204,47.3225723,"light_rail",2012
55,"CHU - Hôpitaux",5.0587443,47.3288469,"light_rail",2012
56,"CHU - Hôpitaux",5.1036329,47.3123958,"light_rail",2012
57,"Parc des Sports",5.0587448,47.328871,"light_rail",2012
58,"Poincaré",5.0945487,47.3135898,"light_rail",2012
59,"Poincaré",5.0642993,47.3288522,"light_rail",2012
60,"Grésilles",5.0643015,47.3288796,"light_rail",2012
61,"Grésilles",5.1099971,47.3138669,"light_rail",2012
62,"Mazen - Sully",5.0768034,47.3148627,"light_rail",2012
63,"Piscine Olympique",5.0819744,47.314975,"light_rail",2012
64,"Piscine Olympique",5.0819787,47.3149995,"light_rail",2012
65,"Cap Vert",5.0945461,47.3135636,"light_rail",2012
66,"Cap Vert",5.1036282,47.3123686,"light_rail",2012
67,"Grand Marché",5.109999,47.3138432,"light_rail",2012
